,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
217,souillac,mu,-20.5167,57.5167,79.54,81,64,7.4
223,andenes,no,69.3143,16.1194,33.48,100,80,9.42
231,phan thiet,vn,10.9333,108.1,76.66,100,92,10.42
235,rocha,uy,-34.4834,-54.3334,42.78,62,0,7.85
238,bredasdorp,za,-34.5322,20.0403,57.18,92,0,6.51
239,bafoulabe,ml,13.8065,-10.8321,65.91,57,76,4.5
240,ribeira grande,pt,38.5167,-28.7001,68.52,97,92,23.73
243,santiago,ph,16.6881,121.5487,79.63,100,64,4.16
245,antofagasta,cl,-23.65,-70.4001,51.57,93,0,2.37
247,mount isa,au,-20.7334,139.5,102.13,15,32,9.53
249,entre rios,br,-11.942,-38.0845,74.91,92,48,6.29
250,zhuanghe,cn,39.7008,122.9911,31.93,100,0,14.23
258,north bend,us,43.4065,-124.2243,32.99,94,0,2.82
260,yellowknife,ca,62.456,-114.3526,-16.32,100,20,10.98
261,massaguet,td,12.4755,15.4365,76.68,22,0,12.55
262,sao filipe,cv,14.8961,-24.4956,76.8,100,0,9.98
265,upernavik,gl,72.7868,-56.1549,7.36,100,0,12.1
271,poli,cm,8.4833,13.25,68.34,72,12,0.58
272,vao,nc,-22.6667,167.4833,72.61,100,0,10.2
275,thika,ke,-1.0333,37.0693,63.99,92,80,3.38
278,maniitsoq,gl,65.4167,-52.9001,9.66,100,0,9.75
279,butaritari,ki,3.0707,172.7902,82.65,100,88,10.87
285,dingle,ie,52.1408,-10.2689,51.19,99,44,9.53
287,provideniya,ru,64.3833,-173.3001,31.17,100,36,40.18
289,qaanaaq,gl,77.484,-69.3633,-1.02,100,48,10.98
290,takapau,nz,-40.0334,176.35,53.13,82,92,12.21
292,lompoc,us,34.6391,-120.458,42.53,100,0,5.5
299,laramie,us,41.3114,-105.5912,20.52,48,0,7.96
307,college,us,64.8569,-147.8028,-20.19,24,0,8.19
309,baykit,ru,61.67,96.37,-5.7,67,76,3.83
311,bilibino,ru,68.0546,166.4372,1.56,67,88,6.96
312,bandarbeyla,so,9.4942,50.8122,78.24,100,92,24.07
316,severo-kurilsk,ru,50.6789,156.125,40.35,93,100,38.83
319,port augusta,au,-32.5,137.7667,89.49,28,32,5.95
321,panaba,mx,21.2833,-88.2667,70.41,89,0,2.93
325,mossendjo,cg,-2.9506,12.7261,71.08,99,92,2.71
327,cayenne,gf,4.9333,-52.3334,77.04,83,80,6.96
328,labuhan,id,-6.8844,112.2051,83.73,100,12,2.93
332,bethel,us,41.3712,-73.4141,51.75,96,92,10.42
333,marrakesh,ma,31.6315,-8.0083,45.54,70,0,2.93
335,benghazi,ly,32.1167,20.0667,68.34,100,20,7.18
336,yar-sale,ru,66.8333,70.8333,10.74,100,80,7.74
338,egvekinot,ru,66.3167,-179.1667,17.58,91,64,2.71
339,naze,jp,28.3667,129.4833,64.33,100,56,20.15
340,morondava,mg,-20.2834,44.2833,86.25,68,0,2.93
343,lorengau,pg,-2.0226,147.2712,85.17,100,56,5.95
344,tual,id,-5.6667,132.75,83.37,100,20,7.4
346,arraial do cabo,br,-22.9662,-42.0278,76.17,84,36,18.37
348,tura,ru,64.2833,100.25,-18.15,76,80,2.93
353,vostok,ru,46.4856,135.8833,-6.54,55,32,5.17
359,dalvik,is,65.9702,-18.5287,21.15,100,88,1.14
362,dudinka,ru,69.4058,86.1778,-25.26,38,12,8.19
365,buloh kasap,my,2.5536,102.764,91,76,20,4.94
366,saint-augustin,ca,51.226,-58.6502,33.33,100,0,12.55
368,ahipara,nz,-35.1667,173.1667,61.54,81,92,15.01
372,gibara,cu,21.1097,-76.1317,73.98,79,80,10.31
376,mayumba,ga,-3.432,10.6554,76.89,100,76,7.63
380,floro,no,61.5996,5.0328,41.49,100,80,20.49
381,taunggyi,mm,20.7833,97.0333,79.41,69,0,3.38
383,san patricio,mx,19.2167,-104.7,76.21,100,92,2.04
389,norman wells,ca,65.282,-126.833,-11.91,76,48,2.37
393,cidreira,br,-30.1812,-50.2056,58.26,86,0,10.2
394,kipushi,cd,-11.7667,27.2333,68.79,85,36,9.19
397,tripoli,ly,32.8752,13.1875,55.99,100,100,14.45
398,touros,br,-5.1989,-35.4609,74.01,96,20,8.19
400,christchurch,nz,-43.5334,172.6333,62.53,75,0,4.61
403,stolin,by,51.8912,26.846,29.82,92,56,9.75
404,lazaro cardenas,mx,17.9583,-102.2,77.38,100,92,1.7
416,hithadhoo,mv,-0.6,73.0833,81.16,100,92,9.86
419,zhangye,cn,38.9342,100.4517,34.81,78,0,4.38
421,lillooet,ca,50.6856,-121.9421,35.13,76,36,1.59
425,pevek,ru,69.7008,170.3133,15.87,93,88,33.91
427,ancud,cl,-41.8698,-73.8203,40.53,94,0,5.17
430,sechura,pe,-5.557,-80.8223,63.39,95,12,10.65
433,ostrovnoy,ru,68.0531,39.5131,22.66,88,80,4.5
438,thompson,ca,55.7435,-97.8558,8.38,68,44,8.75
441,mushie,cd,-3.0167,16.9,72.21,98,76,1.92
445,coahuayana,mx,18.7333,-103.6834,77.88,100,56,3.71
446,jizan,sa,16.8892,42.5511,81.57,84,0,10.87
447,hamilton,bm,32.2915,-64.778,68,100,0,8.19
453,muisne,ec,0.6,-80.0334,66.76,97,24,2.82
455,chernyshevskiy,ru,63.0128,112.4714,-13.17,80,48,3.71
456,kloulklubed,pw,7.0419,134.2556,86.38,100,68,13
458,marawi,sd,18.4833,31.8167,76.48,43,0,6.96
461,manutuke,nz,-38.6834,177.9167,54.34,96,100,23.06
463,umba,ru,66.6871,34.3429,24.51,100,48,9.42
466,nanortalik,gl,60.1432,-45.2372,28.65,95,92,35.48
467,belmonte,br,-15.8631,-38.8828,72.09,92,88,4.27
471,panguipulli,cl,-39.6334,-72.3334,50.76,100,92,2.93
473,beloha,mg,-25.1667,45.05,78.06,48,0,10.42
474,balkanabat,tm,39.5108,54.3671,47.46,71,0,3.38
476,nahariyya,il,33.0059,35.0941,70.77,100,24,7.74
482,bangkalan,id,-7.0455,112.7351,86.29,88,24,3.94
487,vavuniya,lk,8.7514,80.4971,84.94,89,44,6.17
488,chapais,ca,49.7834,-74.8492,17.02,84,88,4.72
489,grindavik,is,63.8424,-22.4338,30.34,100,12,8.19
491,west allis,us,43.0167,-88.0071,29.34,90,64,20.15
492,millau,fr,44.1,3.0833,23.7,72,8,2.71
493,maple creek,ca,49.9168,-109.4849,28.65,69,12,13.67
494,sosnovo-ozerskoye,ru,52.5249,111.5418,15.19,58,0,8.75
496,tuatapere,nz,-46.1334,167.6833,56.82,85,8,10.09
500,pitimbu,br,-7.4706,-34.8087,74.48,95,92,8.86
502,rafraf,tn,37.1904,10.1837,55.65,100,92,14.12
511,grand gaube,mu,-20.0064,57.6608,79.38,97,44,11.88
512,kawalu,id,-7.3817,108.2082,77.74,73,76,3.04
513,inongo,cd,-1.95,18.2667,73.06,97,76,3.15
514,leh,in,34.1667,77.5833,6.46,85,24,1.59
515,coruripe,br,-10.1256,-36.1756,76.66,100,44,8.97
516,nabire,id,-3.3667,135.4833,77.25,87,68,1.59
518,broken hill,au,-31.9501,141.4333,84.63,38,56,10.65
524,kondoa,tz,-4.9,35.7833,69.96,71,44,7.4
526,yatou,cn,37.15,122.3833,45.61,68,80,11.65
527,tuktoyaktuk,ca,69.4541,-133.0375,0.28,100,76,8.3
532,angermunde,de,53.015,13.9992,37.18,94,88,17.47
535,prachuap khiri khan,th,11.821,99.7841,79.36,100,56,3.71
545,motygino,ru,58.1831,94.7592,27.43,88,80,7.96
548,buala,sb,-8.145,159.5921,79.99,100,80,3.94
554,ilulissat,gl,69.2167,-51.1,-8.4,100,0,3.15
562,tasiilaq,gl,65.6145,-37.6368,22.42,100,80,12.33
563,ternate,id,0.8,127.4,84.72,100,24,9.31
567,ambon,id,-3.6955,128.1814,92.39,91,36,3.6
572,te anau,nz,-45.4167,167.7167,61.09,65,0,3.38
573,astaneh-ye ashrafiyeh,ir,37.2596,49.9444,62.04,78,0,3.27
574,porto de moz,br,-1.7484,-52.2384,81.21,66,0,9.08
577,konstantinovka,ru,49.6167,127.9833,2.1,58,0,9.98
581,broome,au,-17.9667,122.2333,102.13,50,8,7.63
582,tra vinh,vn,9.9347,106.3453,84.49,82,76,8.63
584,norrtalje,se,59.758,18.705,34.92,100,68,7.18
586,nichinan,jp,31.6,131.3667,55.94,100,44,7.63
587,dunedin,nz,-45.8742,170.5036,61.5,70,0,5.28
589,opuwo,na,-18.0607,13.84,65.37,51,0,4.61
590,funadhoo,mv,6.15,73.2667,81.93,100,0,1.14
593,schruns,at,47.0709,9.9475,25.95,83,88,1.7
594,gambela,et,8.25,34.5833,72.03,76,0,4.61
604,cap-aux-meules,ca,47.3821,-61.8597,37.09,100,20,14.79
613,voyvozh,ru,62.892,54.9635,31.84,90,76,9.98
614,palana,ru,59.1167,159.9667,34.18,80,80,9.98
616,atherton,au,-17.2667,145.4833,90.46,31,24,7.96
617,gazojak,tm,41.1875,61.4036,35.94,76,0,11.99
618,antalaha,mg,-14.9004,50.2788,81.43,75,32,7.63
623,lesogorskiy,ru,61.0455,28.9294,34.95,99,88,8.19
624,faanui,pf,-16.4834,-151.75,80.4,100,64,23.73
627,trairi,br,-3.2778,-39.2689,79.68,100,8,19.26
629,keroka,ke,-0.7759,34.9453,66.18,81,0,4.38
633,yulara,au,-25.2407,130.9889,93.25,42,48,8.75
636,quatre cocos,mu,-20.2078,57.7625,81.7,81,64,7.4
643,buraydah,sa,26.326,43.975,65.68,33,80,8.75
644,richards bay,za,-28.7831,32.0377,76.35,65,0,7.96
647,sao jose da coroa grande,br,-8.8978,-35.1478,74.55,90,88,3.83
648,alice springs,au,-23.7001,133.8833,99.91,30,48,5.73
654,mackay,au,-21.15,149.2,78.1,100,92,14.79
655,bilma,ne,18.6853,12.9164,57.04,28,80,4.5
657,lavrentiya,ru,65.5833,-171,32.38,100,92,2.59
660,nova olinda do norte,br,-3.8881,-59.0942,76.93,94,32,2.59
664,lyaskelya,ru,61.7667,31.0167,36.12,98,92,9.53
665,fujin,cn,47.26,132.0322,1.29,61,12,13.67
669,tumut,au,-35.3,148.2167,70.77,56,24,4.27
675,manggar,id,-2.8834,108.2667,83.59,91,76,10.54
676,udachnyy,ru,66.4167,112.4,-8.7,63,56,2.93
678,puerto madryn,ar,-42.7692,-65.0386,50.07,93,80,26.08
679,mogadishu,so,2.0371,45.3438,82.38,98,0,15.23
680,san juan,ar,-31.5375,-68.5364,50.29,53,0,3.04
686,anadyr,ru,64.75,177.4833,22.23,87,88,38.5
689,eureka,us,40.8021,-124.1637,35.71,98,20,1.7
690,fare,pf,-16.7001,-151.0167,79.86,100,76,22.62
692,santa rosa,ar,-36.6167,-64.2834,61.41,39,0,14.79
697,kutum,sd,14.2,24.6667,71.13,36,0,10.98
700,sola,vu,-13.8834,167.55,77.11,100,92,16.13
705,katsuura,jp,35.1333,140.3,56.59,99,0,8.97
712,sangar,ru,63.9242,127.4739,-23.82,35,44,3.27
714,yumen,cn,40.2833,97.2,34.95,72,0,3.49
719,springbok,za,-29.6644,17.8865,63.3,28,8,4.05
724,lasem,id,-6.6922,111.4527,84.76,98,36,3.04
729,belaya gora,ru,68.5333,146.4167,-1.2,68,68,11.54
738,great falls,us,47.5002,-111.3009,32.29,46,0,11.77
740,mbandaka,cd,0.0487,18.2603,73.06,98,88,3.15
744,neiafu,to,-18.65,-173.9834,81.16,100,36,5.95
746,kupang,id,-10.1667,123.5833,84.13,100,80,2.59
750,dourbali,td,11.8091,15.8632,74.82,28,0,12.21
752,votkinsk,ru,57.0486,53.9872,31.26,91,68,10.09
753,geraldton,ca,49.7267,-86.9485,12.11,79,68,7.96
754,douentza,ml,14.9951,-2.9518,59.79,65,56,2.93
757,virginia beach,us,36.8529,-75.978,65.14,67,68,22.73
760,chokurdakh,ru,70.6333,147.9167,18.3,80,80,7.96
768,tabora,tz,-5.0167,32.8,77,49,8,11.21
771,jinzhou,cn,41.1078,121.1417,30.76,34,0,4.94
780,narsaq,gl,60.9167,-46.05,28.27,69,88,2.82
784,frederiksvaerk,dk,55.9707,12.0225,43.39,99,64,16.69
786,camara de lobos,pt,32.6333,-16.9667,65.68,100,12,12.44
788,sofiyivka,ua,48.0493,33.8746,34.18,95,92,2.93
791,carbonia,it,39.1672,8.5222,49.98,100,32,11.1
795,suoyarvi,ru,62.0833,32.35,34.86,98,92,6.85
797,marystown,ca,47.1666,-55.1483,38.73,100,12,12.77
800,vila velha,br,-20.3298,-40.2925,75.04,94,44,18.03
802,sioux lookout,ca,50.1001,-91.917,12.43,82,64,7.85
803,helong,cn,42.5397,128.9972,9.16,46,20,8.97
805,cotoca,bo,-17.8167,-63.05,72.19,76,76,19.71
806,agadir,ma,30.4202,-9.5982,48.51,100,0,2.71
808,lashma,ru,54.9321,41.1438,32.7,93,92,13.89
812,ahuimanu,us,21.4447,-157.8378,68.92,76,0,6.4
817,fortuna,us,40.5982,-124.1573,35.55,98,20,1.7
825,oranjemund,na,-28.55,16.4333,59.7,97,80,16.13
826,pemangkat,id,1.1667,108.9667,86.43,75,56,4.27
828,wageningen,sr,5.7667,-56.6834,80.49,100,92,16.46
840,benguela,ao,-12.5763,13.4055,72.66,95,92,1.92
842,yining,cn,29.0361,114.5636,43.18,95,100,3.15
845,manakara,mg,-22.1334,48.0167,75,100,68,4.61
846,deputatskiy,ru,69.3,139.9,-8.22,75,68,3.83
847,beringovskiy,ru,63.05,179.3167,26.71,95,20,26.75
852,aklavik,ca,68.2191,-135.0108,-7.61,62,64,4.16
856,tilichiki,ru,60.4667,166.1,22.62,86,20,4.61
857,srednekolymsk,ru,67.45,153.6833,-0.33,66,44,7.4
861,zhigansk,ru,66.7697,123.3711,-18.12,79,36,3.94
866,diamantino,br,-14.4087,-56.4462,69.42,97,76,4.72
869,hargeysa,so,9.56,44.065,61.23,94,92,7.63
871,hamadan,ir,34.7992,48.5146,47.79,76,32,3.6
875,newport,us,41.4901,-71.3129,57.29,86,88,24.85
878,progreso,mx,21.2833,-89.6667,69.62,87,36,3.27
884,dallas,us,32.7831,-96.8067,46.56,50,0,11.43
892,tazovskiy,ru,67.4667,78.7,-2.4,73,80,5.5
902,juneau,us,58.3019,-134.4198,18.09,100,92,2.93
916,guamo,co,4.0308,-74.9701,67.55,100,80,1.92
918,san mateo del mar,mx,16.2,-95,77.11,96,0,18.37
921,wajima,jp,37.4,136.9,38.05,100,92,16.35
924,wilmington,us,34.2257,-77.9448,68.07,67,24,17.02
925,peniche,pt,39.3558,-9.3812,51.53,99,0,5.17
926,horki,by,54.2861,30.9842,31.03,98,88,6.73
930,caracuaro,mx,19.0106,-101.1264,48.81,89,0,1.14
933,adrar,dz,27.8743,-0.2939,40.75,82,0,8.41
935,tonk,in,26.1667,75.7833,71.26,64,0,6.17
936,champerico,gt,14.3,-91.9167,73.33,100,44,2.71
938,havre-saint-pierre,ca,50.2334,-63.5987,27.19,91,32,7.74
939,san quintin,mx,30.4833,-115.95,55.51,70,88,1.92
940,irtyshskiy,ru,58.3333,68.1333,26.58,94,80,7.18
941,prince rupert,ca,54.3161,-130.3202,35.29,100,92,2.15
942,najran,sa,17.4924,44.1277,70.47,35,0,4.27
945,truro,ca,45.3669,-63.2654,27.97,100,20,4.05
947,mercedes,uy,-33.2524,-58.0305,50.38,59,0,8.41
948,eenhana,na,-17.4667,16.3333,69.28,21,0,11.43
950,chuy,uy,-33.6971,-53.4617,47.91,93,0,8.63
951,rawson,ar,-43.3002,-65.1023,48.76,100,80,26.31
953,las choapas,mx,17.9333,-94.0834,71.85,99,80,7.4
955,harper,lr,4.375,-7.717,78.69,100,68,5.95
959,ullapool,gb,57.8987,-5.1604,44.53,100,56,12.66
960,ingham,au,-18.65,146.1667,80.08,89,8,7.29
961,kuruman,za,-27.4524,23.4325,69.87,19,0,4.94
962,laguna,br,-28.4825,-48.7809,66.63,100,48,22.06
963,acarau,br,-2.8856,-40.12,74.23,93,64,10.65
964,guerrero negro,mx,27.9769,-114.0612,64.06,74,24,9.08
965,bunia,cd,1.5667,30.25,67.03,97,68,2.93
966,utevka,ru,52.9035,50.9495,33.15,92,92,11.21
977,namibe,ao,-15.1962,12.1522,69.73,100,20,2.26
979,qaracala,az,39.8132,48.9523,52.54,100,92,5.61
982,alofi,nu,-19.0596,-169.9187,83.59,96,48,13.33
985,bousso,td,10.4795,16.7117,75.09,63,20,2.82
990,tomari,ru,47.7658,142.0683,20.19,99,36,12.44
991,tessalit,ml,20.1986,1.0114,47.64,36,0,4.5
992,sao joao da barra,br,-21.6403,-41.0512,77.07,96,32,27.65
1001,esperance,au,-33.8667,121.9,74.64,71,0,8.63
1004,muros,es,42.7762,-9.0604,45.5,99,0,7.74
1005,west wendover,us,40.7391,-114.0734,19.65,78,0,1.81
1011,ketchikan,us,55.3422,-131.6462,35.76,100,88,4.5
1015,macau,br,-5.115,-36.6345,72.66,84,8,9.53
1022,savelugu,gh,9.6244,-0.8253,76.21,79,36,8.08
1024,deneysville,za,-26.8908,28.0971,71.53,37,0,4.72
1025,vagur,fo,61.4732,-6.8119,43.32,100,88,17.13
1027,ati,td,13.2154,18.3353,74.86,22,0,11.99
1029,mahibadhoo,mv,3.7833,72.9667,82.83,100,48,5.61
1031,rio grande,br,-32.035,-52.0987,54.84,100,0,11.43
1036,terrak,no,65.087,12.3715,22.64,83,44,2.26
1037,korla,cn,41.7597,86.1469,38.86,45,44,4.83
1041,komsomolskiy,ru,43.9783,46.6985,45.39,91,0,2.93
1043,phuket,th,7.8906,98.3981,87.06,100,8,8.41
1044,ha giang,vn,22.8333,104.9833,61.77,89,88,2.26
1045,toamasina,mg,-18.1667,49.3833,75.22,95,100,1.92
1046,kantang,th,7.4054,99.5156,91.06,89,20,5.95
1047,hualmay,pe,-11.0964,-77.6139,55.29,88,36,4.38
1049,tabou,ci,4.423,-7.3528,78.51,100,64,7.4
1051,kavaratti,in,10.5669,72.642,82.65,100,0,3.94
1060,fonte boa,br,-2.496,-66.2663,77.07,93,8,4.16
1063,carutapera,br,-1.195,-46.0201,77.34,88,0,7.29
1067,lagoa,pt,39.05,-27.9834,67.62,98,80,23.85
1068,ahraura,in,25.0167,83.0167,76.98,79,0,7.85
1073,caravelas,br,-17.7126,-39.2482,77.74,98,24,17.81
1074,malatya,tr,38.5,38,44.35,84,44,2.82
1075,pokhara,np,28.2333,83.9833,65.73,61,0,2.71
1076,totness,sr,5.8833,-56.3167,80.49,100,92,16.46
1078,mokhsogollokh,ru,61.4681,128.9203,-13.38,61,48,3.04
1081,umea,se,63.8284,20.2597,27.16,100,88,24.18
1082,eydhafushi,mv,5.1033,73.0708,82.38,100,8,3.15
1085,pangnirtung,ca,66.1451,-65.7126,-1.47,70,0,7.63
1087,ratnagiri,in,16.9833,73.3,85.08,85,12,11.88
1089,camacha,pt,33.0833,-16.3334,66.25,100,80,11.77
1090,fort morgan,us,40.2503,-103.8,18.99,67,0,6.4
1092,mineral wells,us,32.8085,-98.1129,41.65,62,0,9.64
1093,normandin,ca,48.8333,-72.5321,20.25,85,92,2.71
1094,kourou,gf,5.1552,-52.6478,77.23,94,100,9.64
1098,bela vista de goias,br,-16.9728,-48.9534,69.31,88,56,4.16
